,Year,month,tmax_degC,tmin_degC,air_frost_Days,rain_mm,sun_hours,rain_mm_clean
0,1959,1,6.4,1,13,109,100,109
1,1959,2,6.6,2,4,0,73,0
2,1959,3,10.4,5,0,43,128,43
3,1959,4,12.7,7,0,62,163,62
4,1959,5,16.8,9,0,12,250,12
5,1959,6,18.9,11,0,23,296,23
6,1959,7,21.6,14,0,39,333,39
7,1959,8,21.8,14,0,25,246,25
8,1959,9,20.8,12,0,6,265,6
9,1959,10,16.8,10,0,106,171,106
10,1959,11,11.7,6,0,151,72,151
11,1959,12,10.0,5,1,196,32,196
12,1960,1,7.4,2,6,82,54,82
13,1960,2,7.8,2,6,52,103,52
14,1960,3,9.0,5,1,80,100,80
15,1960,4,12.7,5,0,35,185,35
16,1960,5,16.2,9,0,70,204,70
17,1960,6,18.9,12,0,59,257,59
18,1960,7,18.4,13,0,60,195,60
19,1960,8,19.4,13,0,148,225,148
20,1960,9,17.6,11,0,66,158,66
21,1960,10,14.3,9,0,179,122,179
22,1960,11,11.8,7,0,218,76,218
23,1960,12,7.6,3,1,125,46,125
24,1961,1,7.3,3,3,147,65,147
25,1961,2,9.4,5,0,66,85,66
26,1961,3,11.4,4,0,6,190,6
27,1961,4,13.1,8,0,60,134,60
28,1961,5,15.4,8,0,32,282,32
29,1961,6,18.4,11,0,32,299,32
30,1961,7,19.5,12,0,69,248,69
31,1961,8,19.8,14,0,17,211,17
32,1961,9,19.3,13,0,64,159,64
33,1961,10,15.5,10,0,111,153,111
34,1961,11,10.1,6,1,100,69,100
35,1961,12,7.6,2,12,104,78,104
36,1962,1,7.8,3,6,89,73,89
37,1962,2,7.3,2,4,18,87,18
38,1962,3,6.4,1,11,50,149,50
39,1962,4,10.7,5,0,48,153,48
40,1962,5,12.7,7,0,41,182,41
41,1962,6,16.7,9,0,12,290,12
42,1962,7,18.1,12,0,53,197,53
43,1962,8,18.4,13,0,105,223,105
44,1962,9,17.1,11,0,64,182,64
45,1962,10,15.3,9,0,51,151,51
46,1962,11,9.4,5,2,69,37,69
47,1962,12,6.3,1,14,97,116,97
48,1963,1,1.0,-2,26,12,72,12
49,1963,2,2.0,-1,18,19,94,19
50,1963,3,7.9,3,3,74,135,74
51,1963,4,10.8,5,0,89,152,89
52,1963,5,13.8,7,0,42,239,42
53,1963,6,17.4,12,0,87,221,87
54,1963,7,18.6,12,0,43,287,43
55,1963,8,18.1,13,0,103,185,103
56,1963,9,17.1,11,0,88,124,88
57,1963,10,14.4,9,0,67,80,67
58,1963,11,12.3,8,0,209,69,209
59,1963,12,5.7,1,11,20,58,20
60,1964,1,6.0,2,6,33,37,33
61,1964,2,6.8,3,3,37,73,37
62,1964,3,6.7,2,3,124,74,124
63,1964,4,10.7,5,1,76,169,76
64,1964,5,15.9,10,0,83,232,83
65,1964,6,17.3,11,0,85,223,85
66,1964,7,19.8,14,0,34,244,34
67,1964,8,20.2,14,0,43,224,43
68,1964,9,19.0,12,0,34,233,34
69,1964,10,13.5,6,0,100,152,100
70,1964,11,11.2,6,2,104,65,104
71,1964,12,7.5,2,7,76,42,76
72,1965,1,6.7,2,3,91,77,91
73,1965,2,5.8,1,4,9,59,9
74,1965,3,8.6,3,6,74,145,74
75,1965,4,11.6,5,0,37,160,37
76,1965,5,14.5,8,0,46,213,46
77,1965,6,16.9,11,0,66,213,66
